source,reply_to,date,reactions,text,url
Felicity Hopkins,Heidi Johnston,2019-05-31,1,Heidi Johnston Oh fuck! Yeees dem feelz. Too real. Haha,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157345080278735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQCPnT8U-KWMUjP7&refid=52&__tn__=R
Anubama Vikraman,ROOT,2019-05-31,1,Susan Tess 🤣🤣,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344640148735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQCjEqqC5bMWYFp8&refid=52&__tn__=R
Susan Tess,Anubama Vikraman,2019-05-31,,Anubama Vikraman this morning 😖😫,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344640148735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQCjEqqC5bMWYFp8&refid=52&__tn__=R
Emma Louise,ROOT,2019-05-31,1,Louise SmithVictoria RoseAdam Chin!!!!!,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344702018735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQAs7iEKNWbQSNk7&refid=52&__tn__=R
Victoria Rose,Emma Louise,2019-05-31,,Emma Louise 😂,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344702018735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQAs7iEKNWbQSNk7&refid=52&__tn__=R
Aimée Mills,ROOT,2019-05-31,1,Jordan Louise please take pics of the girls like this 😂 never get rid of that table 😂😂😂,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344546518735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQD2YJCKe1flMEJP&refid=52&__tn__=R
Jordan Louise,Aimée Mills,2019-05-31,1,Aimée Mills I don't like them on it but for this purpose I'll encourage it lol,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344546518735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQD2YJCKe1flMEJP&refid=52&__tn__=R
Jenny Taylor,,"2,Jun,at,04:21",1,Rachel Male  😆😆,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=20&av=100013685075604&eav=AfbUhAp8k5QJPPxkqkvkdvF44ooJVHFuThfy1hf6IOAtAme1_0FJTO4QbNtsPHhvnyU&refid=52
Cris Lee,,2019-05-31,2,Tim Scutt 😏,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=20&av=100013685075604&eav=AfbUhAp8k5QJPPxkqkvkdvF44ooJVHFuThfy1hf6IOAtAme1_0FJTO4QbNtsPHhvnyU&refid=52
Fardo Dopstra,,"1,Jun,at,01:50",,Boukje 😘,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=20&av=100013685075604&eav=AfbUhAp8k5QJPPxkqkvkdvF44ooJVHFuThfy1hf6IOAtAme1_0FJTO4QbNtsPHhvnyU&refid=52
Nick Nelson,,2019-05-31,,That's how I just woke up...  😂,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=20&av=100013685075604&eav=AfbUhAp8k5QJPPxkqkvkdvF44ooJVHFuThfy1hf6IOAtAme1_0FJTO4QbNtsPHhvnyU&refid=52
Douglas Victor,,2019-05-31,1,Tahn Marie 😂,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=20&av=100013685075604&eav=AfbUhAp8k5QJPPxkqkvkdvF44ooJVHFuThfy1hf6IOAtAme1_0FJTO4QbNtsPHhvnyU&refid=52
Mosessa,,2019-05-31,1,mood Chloe,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=20&av=100013685075604&eav=AfbUhAp8k5QJPPxkqkvkdvF44ooJVHFuThfy1hf6IOAtAme1_0FJTO4QbNtsPHhvnyU&refid=52
Cody Campbell,ROOT,2019-05-31,1,Susan Price 😹😹😹,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157345203008735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQByxydublQBzoK6&refid=52&__tn__=R
Susan Price,Cody Campbell,2019-05-31,1,Cody Campbell THATS BUBBA!!,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157345203008735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQByxydublQBzoK6&refid=52&__tn__=R
Rachel Marie Carter,ROOT,2019-05-31,1,Susan Loeffelholz Brady 😭😭,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344693183735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQDuxt6iF8_vKnPI&refid=52&__tn__=R
Susan Loeffelholz Brady,Rachel Marie Carter,2019-05-31,,Rachel Marie Carter OMG yes!,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344693183735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQDuxt6iF8_vKnPI&refid=52&__tn__=R
Madeleine Huseby Ellefsen,ROOT,2019-05-31,1,Anine🙃,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344556843735&count=3&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQBtjWyi-LwZO0gG&refid=52&__tn__=R
Míša Wakeford,Madeleine Huseby Ellefsen,2019-05-31,1,Madeleine Huseby Ellefsen hei :),https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344556843735&count=3&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQBtjWyi-LwZO0gG&refid=52&__tn__=R
Madeleine Huseby Ellefsen,Madeleine Huseby Ellefsen,2019-05-31,,Míša Wakeford hei på deg,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344556843735&count=3&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQBtjWyi-LwZO0gG&refid=52&__tn__=R
Madeleine Huseby Ellefsen,Madeleine Huseby Ellefsen,2019-05-31,1,Míša Wakeford hei på deg,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344556843735&count=3&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQBtjWyi-LwZO0gG&refid=52&__tn__=R
Pete Jensen,ROOT,2019-05-31,,Right? Why does this week feel longer than most normal ones? Probably because I just came back from vacation,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344772898735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQAOZnXv1XgkgHo1&refid=52&__tn__=R
Karla Corolaria,Pete Jensen,2019-05-31,,"Pete Jensen it's for real, and the worst day was Tuesday, I can swear I saw the clock going backwards lol",https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344772898735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQAOZnXv1XgkgHo1&refid=52&__tn__=R
Aimée Mills,,2019-05-31,,Jordan Louise please take pics of the girls like this 😂 never get rid of that table 😂😂😂,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=30&av=100013685075604&eav=AfZXOgaeSbrKpX7NfkgYrwjVyCwB4SEKsnmH27tkOExf1U6dP4ToNB240I0gieEUC0A&refid=52
Ross Coudeyras,,2019-05-31,1,Tanner Ogden lol cat face,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=30&av=100013685075604&eav=AfZXOgaeSbrKpX7NfkgYrwjVyCwB4SEKsnmH27tkOExf1U6dP4ToNB240I0gieEUC0A&refid=52
Sophia Dimopoulos,,2019-05-31,1,Tony Seremak 🤣,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=30&av=100013685075604&eav=AfZXOgaeSbrKpX7NfkgYrwjVyCwB4SEKsnmH27tkOExf1U6dP4ToNB240I0gieEUC0A&refid=52
Ray Charles,,2019-05-31,,"My thoughts, exactly.",https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=30&av=100013685075604&eav=AfZXOgaeSbrKpX7NfkgYrwjVyCwB4SEKsnmH27tkOExf1U6dP4ToNB240I0gieEUC0A&refid=52
Marie Sque,,2019-05-31,2,PH Reynaud Arnaud Andries ohhh oui la table en verre !,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=30&av=100013685075604&eav=AfZXOgaeSbrKpX7NfkgYrwjVyCwB4SEKsnmH27tkOExf1U6dP4ToNB240I0gieEUC0A&refid=52
Katie Eck,,2019-05-31,1,Shantal Griffey 😂,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=30&av=100013685075604&eav=AfZXOgaeSbrKpX7NfkgYrwjVyCwB4SEKsnmH27tkOExf1U6dP4ToNB240I0gieEUC0A&refid=52
Aisha Mirza,ROOT,2019-05-31,1,I feel like this one should definitely be in your cat calendar Jim Galus,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344614488735&count=2&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQD0muIl3JM9hN2I&refid=52&__tn__=R
Jim Galus,Aisha Mirza,"1,Jun,at,02:38",,Aisha Mirza yes!!! Love it,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344614488735&count=2&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQD0muIl3JM9hN2I&refid=52&__tn__=R
Jim Galus,Aisha Mirza,"1,Jun,at,02:38",,Aisha Mirza yes!!! Love it,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344614488735&count=2&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQD0muIl3JM9hN2I&refid=52&__tn__=R
Justinas Jankevicius,ROOT,2019-05-31,1,Andrius Burba kada iš apačios šonu? :D,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344558968735&count=3&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQDTcKQk7ae-ildb&refid=52&__tn__=R
Andrius Burba,Justinas Jankevicius,2019-05-31,3,Justinas Jankevicius  😀,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344558968735&count=3&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQDTcKQk7ae-ildb&refid=52&__tn__=R
Andrius Burba,Justinas Jankevicius,2019-05-31,2,"Justinas Jankevicius  kaip kas moka, taip tas pozuoja 😀",https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344558968735&count=3&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQDTcKQk7ae-ildb&refid=52&__tn__=R
Justinas Jankevicius,Justinas Jankevicius,2019-05-31,,Nu super :),https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344558968735&count=3&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQDTcKQk7ae-ildb&refid=52&__tn__=R
Lea Bee,,2019-05-31,1,"Melanie Gatfield, Mark Jones, Linda McGurk, GenJen Turtle Leo, Natty Nksc",https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=40&av=100013685075604&eav=AfZJyud-OTT2lfl0LHsrbhYk2jsZkfFEoWvVOQ2S4ZurORQ7NaCkgX-GclmUIxBhTUo&refid=52
Andrew Lopez,,2019-05-31,1,Alyssa Herrera me,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=40&av=100013685075604&eav=AfZJyud-OTT2lfl0LHsrbhYk2jsZkfFEoWvVOQ2S4ZurORQ7NaCkgX-GclmUIxBhTUo&refid=52
Patrick Ryan,,2019-05-31,,Finally over for me,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=40&av=100013685075604&eav=AfZJyud-OTT2lfl0LHsrbhYk2jsZkfFEoWvVOQ2S4ZurORQ7NaCkgX-GclmUIxBhTUo&refid=52
Thomas Hooper,,2019-05-31,1,Alex Louiise ☕👀,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=40&av=100013685075604&eav=AfZJyud-OTT2lfl0LHsrbhYk2jsZkfFEoWvVOQ2S4ZurORQ7NaCkgX-GclmUIxBhTUo&refid=52
Ronnie Cañizares Arricivita,,"Yesterday,at,00:18",,🤗,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=40&av=100013685075604&eav=AfZJyud-OTT2lfl0LHsrbhYk2jsZkfFEoWvVOQ2S4ZurORQ7NaCkgX-GclmUIxBhTUo&refid=52
Pérola Paes,,"2,Jun,at,16:24",,🥰,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=40&av=100013685075604&eav=AfZJyud-OTT2lfl0LHsrbhYk2jsZkfFEoWvVOQ2S4ZurORQ7NaCkgX-GclmUIxBhTUo&refid=52
Vera Leatemia,,2019-05-31,,Erik Van Der Zanden PRECIES wol,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=40&av=100013685075604&eav=AfZJyud-OTT2lfl0LHsrbhYk2jsZkfFEoWvVOQ2S4ZurORQ7NaCkgX-GclmUIxBhTUo&refid=52
Nica-chan,,"31,May,at,22:43",,Join my group😊😊  https://www.facebook.com/groups/1270355699788694/95 members,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=40&av=100013685075604&eav=AfZJyud-OTT2lfl0LHsrbhYk2jsZkfFEoWvVOQ2S4ZurORQ7NaCkgX-GclmUIxBhTUo&refid=52
Marc Bradley,ROOT,2019-05-31,1,Johnny Tan,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344577758735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQDRA0h-V5c68Ib0&refid=52&__tn__=R
Johnny Tan,Marc Bradley,2019-05-31,,Marc Bradley amazing 😼,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344577758735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQDRA0h-V5c68Ib0&refid=52&__tn__=R
Ashley Eff,ROOT,2019-05-31,1,Sarah Choi,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157345061088735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQBe3XCiJZAHyWHB&refid=52&__tn__=R
Sarah Choi,Ashley Eff,"1,Jun,at,00:02",,Ashley Eff forreal tho 😭,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157345061088735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQBe3XCiJZAHyWHB&refid=52&__tn__=R
Matthew Drover,,2019-05-31,1,Dawn Andrews,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=50&av=100013685075604&eav=Afa0_4K0EQLtJoZmo42M_bIugULa-jIazJGB87lsCgr2fCUUsTt0heZQSftouDhOnvs&refid=52
Angela Garcia,,2019-05-31,1,Krystle Martinez,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=50&av=100013685075604&eav=Afa0_4K0EQLtJoZmo42M_bIugULa-jIazJGB87lsCgr2fCUUsTt0heZQSftouDhOnvs&refid=52
Natanyel,,2019-05-31,1,Mathilde Mazan,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=50&av=100013685075604&eav=Afa0_4K0EQLtJoZmo42M_bIugULa-jIazJGB87lsCgr2fCUUsTt0heZQSftouDhOnvs&refid=52
Eric Baker,,2019-05-31,1,James Lopez,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=50&av=100013685075604&eav=Afa0_4K0EQLtJoZmo42M_bIugULa-jIazJGB87lsCgr2fCUUsTt0heZQSftouDhOnvs&refid=52
Katie Tyrrell,,2019-05-31,1,Caiti Cat,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=50&av=100013685075604&eav=Afa0_4K0EQLtJoZmo42M_bIugULa-jIazJGB87lsCgr2fCUUsTt0heZQSftouDhOnvs&refid=52
Tahnee Dragich,,2019-05-31,1,Jon Bjorkstam,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=50&av=100013685075604&eav=Afa0_4K0EQLtJoZmo42M_bIugULa-jIazJGB87lsCgr2fCUUsTt0heZQSftouDhOnvs&refid=52
Franziska Hohenberger,,2019-05-31,1,Elli Indecently,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=50&av=100013685075604&eav=Afa0_4K0EQLtJoZmo42M_bIugULa-jIazJGB87lsCgr2fCUUsTt0heZQSftouDhOnvs&refid=52
Grady Michael Connell,,2019-05-31,1,Karl Weatherley,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=50&av=100013685075604&eav=Afa0_4K0EQLtJoZmo42M_bIugULa-jIazJGB87lsCgr2fCUUsTt0heZQSftouDhOnvs&refid=52
Michael Reynolds,ROOT,2019-05-31,1,Lauren,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157345491983735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQC-9b2SM1bz5WVA&refid=52&__tn__=R
Lauren Pike,Michael Reynolds,2019-05-31,,Michael Reynolds HAHAHAHA i can relate to rhat caption too,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157345491983735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQC-9b2SM1bz5WVA&refid=52&__tn__=R
Chris Schmidt,ROOT,2019-05-31,1,Kayla Green,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344742403735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQBX2LM9CSpy69CM&refid=52&__tn__=R
Kayla Green,Chris Schmidt,2019-05-31,,Chris Schmidt Me every week,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344742403735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQBX2LM9CSpy69CM&refid=52&__tn__=R
Victoria Sweet,ROOT,"1,Jun,at,05:45",1,Rachel Graham,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157347452788735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQAZjslTqcYG87Eg&refid=52&__tn__=R
Rachel Graham,Victoria Sweet,"1,Jun,at,05:54",,Victoria Sweet It's true!!,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157347452788735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQAZjslTqcYG87Eg&refid=52&__tn__=R
Amrita Basra,ROOT,2019-05-31,1,Alyssha Fernandes Mihai Stefan,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344655793735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQBvApfDY7AHAPaC&refid=52&__tn__=R
Alyssha Fernandes,Amrita Basra,2019-05-31,1,Amrita Basra 😭😂,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344655793735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQBvApfDY7AHAPaC&refid=52&__tn__=R
Mardea Ramlee,,2019-05-31,1,Nadia Maria Bodestyne,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=60&av=100013685075604&eav=Afbk_FQo7XMIoxrTk1cF0F6vqJJWGAgvtei3ZNQrcc1uw0BBZsReDGuCLyvfiVruQvQ&refid=52
Schneiders Bthny,,2019-05-31,1,Kim,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=60&av=100013685075604&eav=Afbk_FQo7XMIoxrTk1cF0F6vqJJWGAgvtei3ZNQrcc1uw0BBZsReDGuCLyvfiVruQvQ&refid=52
Saundra Martinez,,2019-05-31,1,Travis,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=60&av=100013685075604&eav=Afbk_FQo7XMIoxrTk1cF0F6vqJJWGAgvtei3ZNQrcc1uw0BBZsReDGuCLyvfiVruQvQ&refid=52
Helena Bilsborough,,2019-05-31,1,Caitlin Moore,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=60&av=100013685075604&eav=Afbk_FQo7XMIoxrTk1cF0F6vqJJWGAgvtei3ZNQrcc1uw0BBZsReDGuCLyvfiVruQvQ&refid=52
Wilfredo E Oliva,,2019-05-31,1,Ericka Faye Galang,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=60&av=100013685075604&eav=Afbk_FQo7XMIoxrTk1cF0F6vqJJWGAgvtei3ZNQrcc1uw0BBZsReDGuCLyvfiVruQvQ&refid=52
Steven Cannady,,2019-05-31,1,Brittney Wilson,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=60&av=100013685075604&eav=Afbk_FQo7XMIoxrTk1cF0F6vqJJWGAgvtei3ZNQrcc1uw0BBZsReDGuCLyvfiVruQvQ&refid=52
